Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-04-17 17:16:04,false,"Washington County Running","3.18","356","00:29:01","154","175","3.8","170","184","9:08","7:44","28","35","1.04","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:33.20","4","0.0","00:28:28","00:36:23","184","220"
Walking,2022-04-12 12:39:07,false,"Washington County Walking","2.01","224","00:34:02","103","139","1.5","121","136","16:57","1:33","21","23","0.78","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:15.22","3","0.0","00:34:01","00:34:02","194","217"
Walking,2022-04-11 12:08:54,false,"Washington County Walking","2.01","203","00:36:40","87","110","1.1","119","150","18:17","14:31","17","16","0.74","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:11.02","3","0.0","00:36:25","00:36:40","194","217"
Indoor Rowing,2022-04-01 19:57:15,false,"Indoor Rowing","--","113","00:12:44","122","161","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","338","0:00","0.0","0:00","No","12:43.92","1","0.0","00:00:00","00:13:07","--","--"
Running,2022-03-29 17:35:39,false,"Washington County Running","0.77","90","00:07:00.8","161","176","0.0","171","178","9:04","7:39","8","--","1.04","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","07:00.83","1","0.0","00:06:59","09:52:35","193","206"
Running,2022-03-29 17:06:14,false,"Washington County Running","3.17","267","00:28:22","146","172","3.3","169","184","8:57","6:27","25","37","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","03:35.10","3","0.0","00:21:06","00:26:55","184","220"
Running,2022-03-24 16:42:11,false,"Washington County Running","3.16","339","00:27:30","156","176","3.6","169","193","8:41","5:06","30","37","1.10","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:25.62","4","0.0","00:26:55","00:41:48","184","220"
Running,2022-03-12 12:43:18,false,"Washington County Running","3.19","349","00:27:13","156","185","3.8","173","185","8:32","6:41","33","38","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:35.59","4","0.0","00:26:50","00:36:43","184","220"
Running,2022-03-10 16:32:08,false,"Washington County Running","3.15","338","00:27:19","156","181","3.6","171","186","8:39","6:40","41","40","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:17.72","4","0.0","00:26:49","00:36:35","184","220"
Walking,2022-03-05 17:56:56,false,"Washington County Walking","0.76","142","00:26:34","105","128","0.7","62","133","34:47","17:58","2","--","0.74","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","26:33.58","1","0.0","00:16:04","00:26:34","204","210"
Running,2022-03-05 16:15:05,false,"Washington County Running","3.15","364","00:29:10","161","180","3.7","169","184","9:15","7:04","30","31","1.03","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:19.08","4","0.0","00:28:20","00:36:47","184","220"
Walking,2022-02-28 18:13:16,false,"Washington County Walking","0.76","89","00:24:54","73","91","0.3","70","159","32:52","19:25","3","--","0.70","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","24:53.68","1","0.0","00:17:06","00:24:54","204","210"
Running,2022-02-27 11:51:16,false,"Washington County Running","3.18","366","00:28:06","154","190","4.0","173","188","8:50","7:13","32","31","1.05","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:33.83","4","0.0","00:27:36","00:35:39","184","220"
Running,2022-02-24 16:54:12,false,"Washington County Running","3.18","348","00:27:18","148","164","3.7","173","248","8:35","6:50","20","26","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:31.62","4","0.0","00:26:56","00:34:21","184","220"
Running,2022-02-20 17:28:56,false,"Washington County Running","3.16","347","00:27:32","143","162","3.7","173","186","8:43","6:45","32","36","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:20.13","4","0.0","00:27:15","00:34:39","174","220"
Running,2022-02-18 17:19:44,false,"Washington County Running","3.15","345","00:27:20","153","179","3.8","173","192","8:40","7:27","32","37","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:16.83","4","0.0","00:26:47","00:34:50","184","220"
Running,2022-02-15 16:59:26,false,"Washington County Running","3.15","349","00:28:20","143","160","3.7","172","186","9:00","6:49","30","36","1.04","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:16.19","4","0.0","00:27:35","00:34:17","184","241"
Running,2022-02-13 11:25:03,false,"Washington County Running","3.16","353","00:27:33","153","178","3.9","174","184","8:43","6:52","27","33","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:18.24","4","0.0","00:26:59","00:34:19","184","220"
Running,2022-01-26 16:32:28,false,"Washington County Running","3.21","351","00:27:04","134","154","3.9","171","184","8:26","1:39","21","21","1.11","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:44.05","4","0.0","00:26:50","00:32:42","184","220"
Walking,2022-01-23 19:48:53,false,"Washington County Walking","2.02","224","00:44:30","87","102","0.9","91","138","22:02","14:14","16","20","0.80","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","10:51.86","3","0.0","00:36:17","00:44:31","194","217"
Running,2022-01-21 17:32:07,false,"Washington County Running","3.19","354","00:28:12","149","176","3.8","168","186","8:50","6:17","39","39","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:35.98","4","0.0","00:27:15","00:33:54","184","220"
Walking,2022-01-19 19:32:49,false,"Washington County Walking","1.02","107","00:26:57","87","97","0.3","79","128","26:27","16:37","10","8","0.77","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","12:57.70","2","0.0","00:23:59","00:26:58","204","217"
Running,2022-01-15 13:17:58,false,"Washington County Running","3.14","332","00:26:50","138","176","3.6","172","186","8:32","6:48","21","26","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:08.39","4","0.0","00:26:06","00:33:56","184","220"
Running,2022-01-14 16:05:21,false,"Washington County Running","3.15","338","00:26:30","155","179","3.9","170","189","8:25","6:26","39","38","1.12","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:14.68","4","0.0","00:25:54","00:33:27","184","280"
Walking,2022-01-12 18:50:12,false,"Washington County Walking","2.01","234","00:49:08","88","103","0.8","78","136","24:28","15:08","16","19","0.85","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:08.19","3","0.0","00:39:14","00:49:15","193","217"
Running,2022-01-08 16:18:00,false,"Washington County Running","3.17","352","00:26:35","161","180","4.0","172","184","8:23","6:51","33","32","1.11","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:24.61","4","0.0","00:26:14","00:33:36","184","220"
Walking,2022-01-06 21:33:57,false,"Washington County Walking","2.08","250","00:46:44","104","121","1.2","86","147","22:29","15:27","21","20","0.84","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","05:25.17","3","0.0","00:36:15","00:46:44","194","217"
Walking,2022-01-02 18:45:25,false,"Washington County Walking","2.01","212","00:43:46","94","109","0.8","86","147","21:48","12:33","23","23","0.86","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:28.87","3","0.0","00:32:44","00:52:38","193","217"
Walking,2022-01-01 20:54:41,false,"Washington County Walking","2.02","208","00:43:01","96","108","0.8","92","163","21:16","13:04","15","20","0.82","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:32.79","3","0.0","00:36:10","00:44:22","194","217"
Walking,2021-12-31 19:55:04,false,"Washington County Walking","2.01","247","00:45:37","108","122","1.0","88","155","22:44","15:37","20","20","0.81","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:13.24","3","0.0","00:36:22","00:45:39","193","217"
Running,2021-12-31 15:46:23,false,"Washington County Running","3.18","349","00:26:58","145","165","3.6","175","186","8:29","4:45","27","30","1.08","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:23.61","4","0.0","00:26:41","00:34:26","184","220"
Running,2021-12-30 15:48:38,false,"Washington County Running","3.17","351","00:27:21","144","162","3.8","174","184","8:38","6:51","25","32","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:25.94","4","0.0","00:27:02","00:34:30","184","220"
Walking,2021-12-28 20:57:40,false,"Washington County Walking","2.01","238","00:46:38","99","114","1.1","89","159","23:15","15:18","23","22","0.79","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:26.54","3","0.0","00:35:45","01:17:47","193","217"
Running,2021-12-28 16:54:31,false,"Washington County Running","3.20","365","00:28:11","155","173","4.0","173","186","8:49","7:29","43","44","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:43.32","4","0.0","00:27:54","00:34:20","184","221"
Running,2021-12-26 16:11:21,false,"Washington County Running","3.19","353","00:28:43","149","172","3.7","173","184","9:00","7:21","44","43","1.03","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:34.66","4","0.0","00:28:25","00:34:43","184","220"
